tweetid,sentiment
1213757993180946432,1
1213853498292539136,1
1213857366627799040,1
1215934959984291840,1
1216438498275872768,1
1217221879917948928,1
1217682346469679104,0
1218259655304122368,2
1218445050406952704,1
1218621486589796352,2
1219125973066473472,0
1219881895842009088,1
1219883256646111232,1
1219928999016747008,1
1219956465349381888,1
1220714848553705472,3
1220770647720308736,1
1220814731621097472,1
1220956525168074752,1
1221374187887058688,1
1221490925882564608,1
1221497457164607488,0
1221539885187813120,0
1221759053220785920,1
1221760023765946368,3
1221791085720219648,0
1221791486976589824,0
1222095062416478208,3
1222117818273029888,3
1222118750209658880,3
1222120273568325632,0
1222227604243087104,0
1222254270097039104,3
1222426793472417536,3
1222454596402020352,0
1222505657879990272,2
1222533189832466432,0
1222570683714146304,3
1222594674222911488,1
1222848383070736384,0
1223172408259022848,0
1223185436564213504,0
1223221682053230336,0
1223242367966294016,1
1223308746111246336,1
1223386355717283840,2
1223720433582821120,1
1223750948415295488,1
1224221565899939840,0
1224315427767095296,1
1224317115315998720,1
1224374299114573824,0
1224451561394331648,3
1224617561431605248,0
1224632900294979584,0
1224634738054516736,1
1224642014899331072,0
1224894391195774720,3
1224946802903994368,1
1225159844346388480,1
1225175055853858816,0
1225308312469635072,0
1225343861175787520,0
1225404986215092224,0
1225756200035328000,0
1226070091193777920,1
1226265022072020736,3
1226409582483984384,0
1226826720143183872,0
1226843119372640256,1
1226897060873547520,1
1227164628616126464,0
1227208364008099840,0
1227234454063677440,0
1227253969979944704,1
1227321407111081984,1
1227522959172042752,0
1227534205443280896,3
1227631906902204416,3
1227861213469650688,1
1227931601868382208,0
1228000042499346432,3
1228076383986954240,0
1228386241323950080,0
1229021562289950720,1
1229331692235763712,0
1229706678259650304,0
1229805372006895616,2
1230166014903668736,1
1230398140114665472,3
1230560861380431872,3
1230772160186048512,0
1230786512222138368,0
1230916878559830016,1
1231124004137775104,0
1231478682595794688,0
1231502057468825600,0
1231516812451438336,0
1231536277725569024,1
1231572738759852032,1
1231633909236064256,1
1231653730086457088,0
1231671271450169088,3
1231671511368585216,3
1231688850155671552,3
1231699079551442688,2
1231827639108866048,0
1231841174756962304,3
1231896378877632512,0
1231919039624118272,1
1231920413917229056,0
1231924959540367104,3
1231945293354192896,1
1231946414374227968,3
1231955192024883200,3
1231961570651013120,3
1231992880652333056,3
1231999743649370112,3
1232017067777437696,0
1232018710153613312,0
1232021135170166784,1
1232061779817221888,3
1232061967566855936,3
1232175341143252736,1
1232191538521935872,0
1232204456873230336,3
1232211642471108608,3
1232222415243108352,0
1232226457033768704,3
1232230493271339008,1
1232243436914384896,3
1232250250255007488,0
1232257435055861504,3
1232269979485179904,2
1232273915059281920,3
1232274364281884672,3
1232286402815152128,0
1232290336728403968,1
1232290721354440704,0
1232291746203283456,1
1232294143382171648,3
1232295857598476288,3
1232298990122733568,3
1232302187658780672,0
1232302476826697728,0
1232306328519008256,1
1232309083438448640,1
1232310518913916928,1
1232312820189937664,0
1232317690682806272,1
1232317817308864512,0
1232321137952067584,0
1232325104232738816,3
1232331390345252864,3
1232333056448569088,3
1232333269687029504,1
1232341027312328704,0
1232341338923896832,0
1232358464992743424,0
1232365644949131264,3
1232366063079305216,0
1232366998337851136,0
1232369323127267328,3
1232384459032408064,2
1232389757520502784,3
1232392280641875968,0
1232397104418562048,1
1232417942622568448,1
1232442109656875008,1
1232493216596774912,0
1232561838950318080,0
1232566402491527168,0
1232578439699423232,0
1232582505011830784,1
1232592320794648320,0
1232596106103656448,1
1232602212750233600,1
1232615718891511808,3
1232630312804417536,0
1232635911910891520,3
1232636685218983936,1
1232653133454675968,3
1232665002538127104,1
1232667365541908480,1
1232678089492180736,0
1232731977343807488,1
1232740337061433088,3
1232757344838258688,3
1232759513272455168,1
1232777153122590720,3
1232789546926039040,3
1232849850317840384,0
1232903917605990400,3
1232908238632443904,1
1232912241827229696,0
1232941205836746752,1
1232943038789488640,1
1232947314127446016,1
1232953315010514688,1
1232993147019501568,1
1233007459217833984,1
1233016679887712256,1
1233035194606768128,0
1233055373977947904,1
1233086224765722624,3
1233107709320482816,1
1233132878596386816,1
1233194998826503936,1
1233269249344442368,1
1233298054465380352,1
1233315827862196224,1
1233341197332156416,0
1233344442603581440,0
1233356027602534400,0
1233358502372028416,1
1233388499300179968,3
1233399025795305472,1
1233423865998725120,0
1233485848383041536,3
1233716206902939648,0
1233853701560897536,3
1233870930943905536,1
1234040253838745600,1
1234066376194654208,0
1234073370255405056,1
1234108671124295680,0
1234135110141841408,1
1234373985590267904,0
1234450554023219200,1
1234458979566268416,3
1234483660830760704,1
1234490485093392384,0
1234516659005726720,1
1234526664249442304,3
1234528940942860288,3
1234718627984805888,3
1234734157940523008,3
1234740595542749184,0
1234744065192792064,0
1234750725491654656,0
1234763929655660288,1
1234771747519574016,0
1234775482396299264,0
1234793432310263808,3
1234830554626957312,1
1234839719189647104,3
1234845483534671872,0
1234860834632810496,0
1234866483039211520,0
1234875132251967488,3
1234890601528745984,0
1234915848718036736,3
1234941871727747072,0
1235125753475457024,0
1235127814631943936,1
1235155495163441152,0
1235176912982601728,0
1235239859482169088,0
1235315410905501696,3
1235430800423874304,3
1235454866325221120,1
1235472294291443712,3
1235495461101989888,0
1235496877099015936,1
1235502437479460864,0
1235514590567362304,3
1235520000586379264,0
1235527982225096704,1
1235578362933977088,1
1235600748567842816,0
1235606732467892224,0
1235629589545865216,0
1235665624795357184,0
1235682938064375808,1
1235835523836469248,0
1235848284670816256,1
1235869008026431488,1
1235901097828651008,0
1235905941389938688,3
1235908644262293504,1
1235943527084891904,0
1235976939095166720,0
1235985686316150784,1
1236135220719607808,3
1236185053903884288,1
1236190343403581440,0
1236265492840689664,0
1236297076620787712,1
1236323138209828864,0
1236348514671759104,1
1236386626106011648,1
1236405582573289472,1
1236414555636588288,0
1236433576729751552,1
1236563805557141504,1
1236586318777536512,3
1236595214317486080,0
1236620696438165504,0
1236621135401365504,1
1236636777466691584,0
1236821270966255616,0
1236874732072513536,0
1236895299014197248,1
1236931309953527808,0
1236939785454759936,0
1236947450969100288,0
1236956105579913216,1
1236967695238733824,3
1236986528389304320,0
1237001353450475520,0
1237006597202853888,3
1237027554483191808,3
1237039981442580480,0
1237044793722748928,3
1237049255040172032,0
1237079705511223296,0
1237086137392529408,3
1237105199912795904,1
1237125608158695424,3
1237126925337985024,1
1237128336763170816,0
1237138905985662720,1
1237172387629748224,0
1237251870655221504,1
1237258172127227904,1
1237283744077221888,0
1237284508250124288,1
1237294994215469056,1
1237299333726457856,1
1237300963796496384,3
1237322272836390912,0
1237329455468744704,0
1237329934412123904,0
1237331820745809920,0
1237344646864547840,0
1237344696684417024,1
1237351767815393280,0
1237356191434649600,1
1237357403781230336,0
1237359895357374464,1
1237360595332141056,1
1237365655499952128,0
1237370544703582208,0
1237372024869265408,0
1237386480353292288,1
1237386579657633536,3
1237391329140690688,0
1237393143953154048,0
1237404440648441856,0
1237410578408374272,0
1237419757625839616,0
1237424643876761600,1
1237431655448621056,1
1237432346208612352,0
1237437910741397504,3
1237440795910778880,0
1237441053780827904,0
1237442947236483072,1
1237466470201819136,3
1237467590546644736,3
1237499185865412608,3
1237619559936462848,1
1237639052901441536,0
1237640549328465920,0
1237644586786398208,0
1237667210329546752,0
1237672523418021888,0
1237683460090875904,1
1237683609231818752,3
1237690636410793984,3
1237705291124346880,0
1237709359146315520,1
1237712950074499072,1
1237714820054552320,0
1237721818900975616,1
1237740572238102528,0
1237745467808759808,3
1237756901980602368,0
1237770257865101312,0
1237777188876947456,3
1237790014634954752,0
1237790058150756352,1
1237790424854597632,1
1237791539029475328,0
1237794687152533504,1
1237796775202893824,1
1237799874134978304,1
1237804733781377024,0
1237805567940362240,0
1237809262622953472,0
1237809286320963584,3
1237815128571227904,1
1237820686674124800,0
1237824191249952768,3
1237839325628207104,1
1237845179085668352,3
1237854592135598080,1
1237857712131600384,1
1237869682637459456,0
1237871032985210880,3
1237872790188912640,0
1237881768218222336,1
1237889320855322624,3
1237908293818953728,0
1237910149475504128,0
1237940874744561664,0
1237979718726582272,1
1237999957359111936,0
1238003469308571648,3
1238007056222818304,1
1238012709884645120,0
1238015690797391872,1
1238019838934728704,3
1238027357182734336,1
1238027624221413120,3
1238028592879218688,0
1238043819297460224,0
1238046159467425536,3
1238046773886758912,1
1238047574004764672,3
1238052238800674816,3
1238052723586727936,1
1238057086937960448,1
1238057961261617152,0
1238058128295542784,1
1238058252912545536,3
1238058308180873216,1
1238060252643430400,1
1238060410135359488,0
1238061922794209280,0
1238062549586907136,0
1238063972567470080,3
1238065664939737088,3
1238068899230384128,0
1238072570072743936,1
1238072944993153024,0
1238082063292600320,0
1238084986810621952,2
1238085065822941184,1
1238086697264590848,0
1238091914492235520,0
1238093390144770048,1
1238095989975678720,0
1238099530836566016,0
1238102525213126656,1
1238102664635916288,0
1238107153464020736,0
1238108152685572096,0
1238114309709971456,3
1238118405414281216,0
1238119987417661440,0
1238120171916668928,0
1238121432988737536,0
1238122327986053120,3
1238122786473816064,1
1238123058587668480,0
1238128199143391232,1
1238134062377603072,0
1238138893809180672,0
1238151590978224128,1
1238164478606422016,0
1238170137712365568,1
1238173263395774464,1
1238173551372292096,2
1238174426690183168,0
1238177662218178304,0
1238183839324950528,1
1238185533827952640,3
1238190715013861120,0
1238198124830744320,0
1238202161739284480,2
1238202657363439616,3
1238204093652504320,0
1238210336173355008,2
1238214361619013632,1
1238231169801609216,1
1238339743534010368,1
1238343445472780288,1
1238343911808151552,0
1238354519370711040,2
1238366308351295488,0
1238367103293566720,0
1238369278648147968,0
1238375244227895296,0
1238376939456471040,0
1238380936078807040,0
1238383399045337088,0
1238386712931434496,0
1238387499086553088,0
1238389008260103936,0
1238392041220067328,0
1238392060656353280,0
1238396188791054336,0
1238396833581457408,0
1238402782249529088,3
1238406320031698688,2
1238407759269433088,0
1238422492299099904,2
1238423323673059328,1
1238428061999104000,0
1238432542207946752,1
1238434384254054400,1
1238436139578556416,0
1238437556007682048,0
1238442440018755584,0
1238446270345248768,1
1238448252221087488,1
1238448634552897536,2
1238449000807792640,0
1238453572712517632,0
1238459238160257024,1
1238465591104634880,1
1238466434956775424,3
1238470091471192064,3
1238471726851391488,0
1238476720384196608,0
1238484475136421888,2
1238485137492512768,0
1238493657063440384,0
1238507208213770240,0
1238514484282626048,1
1238530169087950848,1
1238530631782580224,0
1238531893966114816,0
1238532576479981568,0
1238535021742427904,3
1238544031346495488,1
1238550605238599680,1
1238553941958430720,0
1238558476558905088,2
1238562824391180288,3
1238568211332939520,2
1238573081649713152,0
1238581665037004800,1
1238584012827959296,1
1238598873918124032,0
1238676912014274304,0
1238708621158080512,2
1238725659607924736,1
1238735978635935488,0
1238741481101447168,1
1238741483152388096,0
1238759115859660800,1
1238775544000503808,0
1238782995789733888,0
1238788686424268800,0
1238795652710219520,0
1238796455193780224,0
1238800972257923072,0
1238803944719220736,0
1238806903930617856,0
1238817003047133184,1
1238829669945876480,1
1238835305958068224,0
1238836674941145088,0
1238837235438452736,1
1238844202743726080,1
1238844247178186752,3
1238848879229054720,0
1238859779642134528,3
1238860291808669696,0
1238869044549337088,0
1238872529613271040,0
1238877810426556416,0
1238878292641488896,0
1238880396550590464,0
1238885385188581120,0
1238889453264961536,0
1238903724979949568,0
1238927882065448704,0
1238939006609633280,0
1238939667258576896,1
1238954971141419008,0
1238960435891765248,1
1239061595835322368,1
1239093917791985664,1
1239097615440064512,0
1239099116526939904,0
1239104339756683264,1
1239110637076258816,1
1239112847000551424,0
1239116221469073408,0
1239118242016362496,0
1239120013916811264,3
1239127172557799424,2
1239128431763361536,0
1239132205697425408,1
1239132464708235264,0
1239138883285192704,1
1239139472299700224,1
1239139678101659648,3
1239140509882482688,2
1239143776037351424,1
1239144815142592512,1
1239150717321051904,2
1239151063325957888,0
1239155666977161216,1
1239163966267457536,0
1239164470263459840,0
1239176566967599104,0
1239184369262231552,3
1239188349841223680,0
1239190184580833280,1
1239190361425264640,0
1239196444357246720,1
1239213315169169408,1
1239214605823553536,1
1239218568631332864,1
1239235423072894720,1
1239239899506761728,0
1239244741893644288,0
1239262911635259136,1
1239265056434597888,1
1239271542023913472,0
1239276832547057664,0
1239277287775842304,0
1239285776195649536,0
1239290231045738496,1
1239290292437729280,0
1239293855931011072,1
1239302565021528064,1
