source,target
217346197,906970125059940352
282736355,906970125059940352
1036252963453501441,1125191570
502866724,1125191570
2611305174,1125191570
3069260889,1125191570
20889160,34275162
157966446,1190615495885688832
1412684346968969220,1190615495885688832
1082002129475301376,1190615495885688832
34976713,871871606003568640
59474596,871871606003568640
1027908177734651905,1000464973955559425
1443621511424794625,1593288564
1036252963453501441,1264695365892288514
991065264690225153,1181602464908353536
1079778314666024960,775965339515428864
4000659178,558782611
760021461524484096,807975447359262720
1356356503662374917,943869506820198400
984829285,943869506820198400
147135170,226915291
1461836617241485322,1432612948275613697
1218917936649441280,878345242344378368
941266203036798976,1274422840918446081
433691307,1274422840918446081
67422483,2517994800
1112358144192192512,1257737915003740160
1443621511424794625,3253651463
487818086,428500192
190607531,91330747
102023324,91330747
120141554,1179354687281205249
3159262698,1179354687281205249
2805191663,1242756819405221888
485506251,266802641
3092547670,751305141408632832
994128289609453568,753340262689144832
333361048,118694547
360564115,14962672
113925365,14962672
263629550,14962672
221541656,14962672
1098562993288302592,1213888187602354176
3329677491,2208722034
3232476201,1415375670
1184135563311484939,1361686368074792960
1270694248288071680,1361686368074792960
1306685443728125953,1361686368074792960
790123076507824128,1361686368074792960
1089616830543609857,1361686368074792960
843873610024587264,878575848378556416
720514685565583360,878575848378556416
849287318255140864,878575848378556416
3512016015,878575848378556416
1571006647,1370361610997497860
3062082700,1370361610997497860
1138197525897383936,1370361610997497860
2790155502,1370361610997497860
1571006647,2759931539
2387349163,4756013074
48669347,464048700
40944483,464048700
484826121,464048700
860585317484703746,1248267191545401344
3420091167,62869313
3010809119,1134530662202036224
1145611364645384192,1238055545392816129
1151921737,1177571738785333250
1095405827668746242,3111371278
1443621511424794625,3111371278
1404340248021176320,1285988086011310081
364875200,1285988086011310081
4119626644,1285988086011310081
4119626644,347731134
2387083458,347731134
894927865149607936,347731134
951881778,2494159298
2751515846,1213749665100750848
490413450,462060154
91113630,551424037
1211274715517448192,948383941
1260515540,948383941
1026227105766494208,948383941
560482487,1180072525
3377328015,1180072525
1377006169059901444,1180072525
417426744,212924720
3289832331,1036066008782516224
895991138636750848,1017162123418505216
285545572,111716778
24742083,111716778
1143045858,1234067402083704832
1262914329726386179,441256001
1040252979306274816,441256001
15030385,74282901
1193283898932944896,74282901
14402768,74282901
725576190648553473,74282901
34302267,74282901
926225232,905083176137228289
984171898916560898,748864172855668737
17243645,824412501731377152
206646197,824412501731377152
43313013,824412501731377152
4119626644,724274492210593792
953553849402429440,724274492210593792
1364868522652930051,2749179298
907003734655422469,2749179298
1702042254,2749179298
887530698923442176,1093417825488830464
4880759123,1056865042099040256
955294305568124930,1056865042099040256
953604352303947776,1056865042099040256
1131680176801292288,1056865042099040256
389952554,41570350
624587899,1640112552
1519851379,1640112552
1240252237496139776,72313493
368399981,72313493
790338566,1461389220875055107
1210563337685229569,1481263700455665666
1079778314666024960,1481263700455665666
75419154,1481263700455665666
840890475926163457,1481263700455665666
994128289609453568,1481263700455665666
777789978768269312,4895108319
953553849402429440,4895108319
439128804,1124651010
83128777,2748185512
2836777149,968656666181988353
857377730488401920,968656666181988353
81066264,968656666181988353
64447012,968656666181988353
906780725139132417,968656666181988353
1629958297,3240321154
58743426,3240321154
2987149120,921726514357592064
1187000692617240576,1482723575144628235
708715405364301824,1482723575144628235
120478074,139520877
140586662,139520877
330844464,889619649222062081
4925702703,889619649222062081
907003734655422469,1353992020759601152
1011652742350278658,1353992020759601152
4704179107,1353992020759601152
821659561346080769,4556828313
723227992143630336,4556828313
1571006647,964110198746025984
1084746708582584320,1734721134
869895020454834176,1734721134
1084746708582584320,44186840
956426306471817216,44186840
1325414387847491585,487702644
14568279,487702644
104151416,487702644
830165994417037315,487702644
163206496,3167076760
475299207,1027181281489170432
2819529281,961660363325440000
475209311,1016314863759560704
1355988737075908612,1080488627447173120
860396626397061120,1039177093
1206866599644422144,922117840978706433
3915457463,2510503064
2534588982,2510503064
312583901,121411055
84564700,121411055
558852831,903570887655522306
384482621,903570887655522306
2990552903,1347170923913293825
1116857557,1347170923913293825
1413140130,1347170923913293825
1297625739043524612,1486653435252518920
1080158637685919746,1486653435252518920
392852671,2206906450
744529044,2206906450
970012157269114881,4403915297
1079778314666024960,4403915297
3512016015,4403915297
479654764,1012789432854904832
936991311432945664,1012789432854904832
1051935461718016001,1012789432854904832
1098562993288302592,1442832081093079042
210135868,1059889418
15010947,1059889418
703602985436377088,1059889418
2479993489,1059889418
4880759123,2760004933
270579206,2760004933
38155735,2760004933
1099087024588500993,1452219457963692038
2853209944,1452219457963692038
1953613052,1452219457963692038
1381231606824849410,1452219457963692038
934844028,830932067215085568
2813220503,1350005186702487553
1468851014988185602,1350005186702487553
1412684346968969220,1350005186702487553
1016383562,1350005186702487553
197055419,1245844138991419392
301045554,1245844138991419392
3067819997,1245844138991419392
91113630,306818221
33619479,2835133671
3041525356,371962436
255394159,371962436
1187000692617240576,3029260842
602311223,3029260842
122462516,134503110
3049972011,134503110
33637615,134503110
1048288820167360514,2501952744
1430108198044905487,1685996702
197157054,1685996702
623702678,1685996702
3317557043,821099443671986176
2936772821,821099443671986176
895318526168379393,821099443671986176
1332112269795319809,1112997650935230464
213131653,1116019752076443648
96112657,1116019752076443648
280924536,1116019752076443648
1206278875,1116019752076443648
938070304269783040,1116019752076443648
1071748456438530048,4824964888
270045951,4736438601
63098819,4736438601
1079778314666024960,1126475560891428864
1364868522652930051,1126475560891428864
731357093358411776,1142691625136730112
191972011,1142691625136730112
943203583041982464,3200438554
1220801966,520875104
126331251,900330211
413168304,900330211
1344431338246516736,407536584
1347581921975537669,407536584
22006259,912947336
191421710,260372638
1138606920946933762,3898902285
48669347,759495073
1601147292,1266834873446268928
1332112269795319809,1266834873446268928
1258282194373672960,1266834873446268928
392895216,745363834286768128
1354392715660824577,1240691717684289537
49625578,1240691717684289537
1167931758546956288,1240691717684289537
2381944874,1240691717684289537
853273431818854400,1240691717684289537
432134679,86086369
1084746708582584320,2938289429
1404340248021176320,2938289429
3041525356,2938289429
1183900837212545025,2938289429
757099243,1373969810573434886
121150210,1270123994
327957430,1270123994
1934507905,1270123994
18417916,1270123994
34563828,1270123994
1931628030,186936275
1190615495885688832,888306834859319297
4143305891,888306834859319297
941407834075488256,888306834859319297
1443621511424794625,2520491191
1145546352,4899351441
716529781,130591796
744872825757011968,1207720915573891072
593564542,1346406877282902016
552612507,1346406877282902016
1217876681307889665,1346406877282902016
820197004055871490,1346406877282902016
1048288820167360514,3360268553
394884536,3360268553
3366227189,3360268553
777789978768269312,2174496358
2328043774,1067299300546396161
917749273827082241,1067299300546396161
1065560144,925361012722798592
4075234643,925361012722798592
3231121888,925361012722798592
1432715692126752771,790629542180298752
1152720326284992512,790629542180298752
1357447847583571968,790629542180298752
3806221216,1207456707926020097
1406934341578592257,1207456707926020097
1356356503662374917,1207456707926020097
1295657210018697223,1207456707926020097
1410679041817034754,1207456707926020097
1282710219152412672,1207456707926020097
2605253858,1207456707926020097
115920083,3387901455
861314785,42944522
753511452292579328,1173684341567893504
927644373327769600,3263260984
1241117228,1253743282670231553
2180560236,1253743282670231553
407241568,1253743282670231553
3173726291,1253743282670231553
194073775,1253743282670231553
1264641707859116033,1253743282670231553
75661094,517655943
256196333,517655943
1065560144,707304220014333955
2381944874,1199371812750155779
270045951,1287336936818999297
4035153856,1287336936818999297
1207720915573891072,744872825757011968
1443621511424794625,1154669141405646848
907003734655422469,1154669141405646848
1053065850276773889,1154669141405646848
866762172302581760,1286091003162775552
1229979266139541504,837439959464312832
293061826,4251911434
968880089021734912,4251911434
384444395,566406020
1466728993663729667,928585310581256192
1028162310,1256232064199938049
1032268608527839232,1256232064199938049
1332112269795319809,711322871235272705
601779511,1376711502
2916099886,1376711502
20970334,1284749626638204933
1284566635106500609,1284749626638204933
103880793,2730869637
1443621511424794625,1421420471258652675
1099230704469270528,1421420471258652675
1344288490117345287,1421420471258652675
941266203036798976,1421420471258652675
941407834075488256,1421420471258652675
1306685443728125953,1385230772249014275
790123076507824128,1385230772249014275
1297230752992698369,1385230772249014275
1934507905,1385230772249014275
1214960118288261122,1385230772249014275
140924606,1385230772249014275
1089616830543609857,1385230772249014275
3019461083,1139485058274856960
2538755274,1139485058274856960
1241515496874430470,1139485058274856960
960754310765318145,1905079699
314472382,1254116139707269120
17243645,1254116139707269120
725400016702066688,1254116139707269120
3538564937,1254116139707269120
1148922446218747904,1135218879171637248
1685996702,2241166532
1278424941084446720,1089939865
1126463349028544512,1089939865
1126475560891428864,1089939865
458493949,1089939865
1016712999577554944,1089939865
279991249,1089939865
3049972011,1112358144192192512
1241515496874430470,1243956638916194304
4439629647,1243956638916194304
1079778314666024960,1243956638916194304
1295657210018697223,1068816404651094016
724347373363843072,1068816404651094016
1410679041817034754,1068816404651094016
2876420716,1068816404651094016
1332112269795319809,1193502315887636481
814052329,1193502315887636481
1193212727365427200,1193502315887636481
50625187,3031238849
2570506496,345806194
1079778314666024960,1001586673740861440
2805839605,945331594381938689
867727334085984258,945331594381938689
839494585512562689,976772945308782593
1332112269795319809,976772945308782593
2917709441,976772945308782593
1126908327210958848,976772945308782593
1089939865,279991249
2387542789,3419921776
3041525356,1028374570384977920
104146075,1028374570384977920
364933926,1028374570384977920
1321620002,4891041184
1084746708582584320,4216778662
1332112269795319809,4216778662
1934507905,4216778662
121150210,4216778662
1203828379100815367,1068351288604323840
1406934341578592257,1068351288604323840
1231634794259386369,1068351288604323840
1244755534684839940,1068351288604323840
554171068,344611077
948383941,1260515540
1211274715517448192,1260515540
1026227105766494208,1260515540
475299207,965905773653123072
102821475,965905773653123072
4403915297,883057500970516480
1004122796753121280,883057500970516480
906062765919539200,883057500970516480
3512016015,883057500970516480
1332112269795319809,1214548634588663808
232161002,1214548634588663808
4119626644,1214548634588663808
2837435133,1214548634588663808
1098562993288302592,1214548634588663808
33480316,1098675823
121128303,1098675823
704258445365616640,3293560920
256196333,118650053
41590804,1762270578
907003734655422469,1762270578
1206866599644422144,1762270578
941266203036798976,1762270578
941407834075488256,1762270578
1097842956,750070519282667520
1486653435252518920,1297625739043524612
4374307223,1297625739043524612
51040761,1297625739043524612
894927865149607936,1297625739043524612
831475600359571460,1103306566038704128
953553849402429440,3676210577
1098318609087107073,3676210577
4000659178,1310839140
1079778314666024960,1310839140
2751515846,1310839140
967417750414155776,1310839140
1143045858,1310839140
394012459,1310839140
22417176,2816562738
187890851,2816562738
3241933985,2816562738
3401074565,1261297901067788288
72313493,1261297901067788288
1025096495404658688,1107312205672927233
299533731,1107312205672927233
357479715,1107312205672927233
757099243,1107312205672927233
36512649,1107312205672927233
