sentiment,text
1,"2 user Vaša osobna svjedočanstva su jednako vrijedna kao moja. Znanstveno istraživanje socijalne distance je sasvim O.K, ja ga ne osporavam. Ali VI ste pričali o INTOLERANCIJI - u tu priču se već upliću puno složeniji konstrukti u rangu antisemitizma i islamofobije o čemu NEMA GOVORA."
1,"3 user Jasno vam je da moderna država ne može funkcionirati na sentimentu i istim principima kao hajdučka družina, ili bar ne može dugo vremena?"
1,user Ne samo da može pokazati smjer u kojem naš brod plovi nego može i (de)mobilizirati birače.. Jedna strana dobije ove izbore većim brojem glasova i na idućim hrvaticus vulgaris ostane doma uz misao ma dobit ćemo i bez mene. Dođu rezultati i onda krene kukanje po društvenim mrežama
1,"3 user SDPovke su u odnosu na HDZovke šluškinjina prica. Stranka koja se hvali kao moderna, građanska... daj se saberite jer sramotite pravu građansku Hrvatsku"
1,"4 user Ništa bolje i kod nas, prvo požar u staračkom domu u kojem je umrlo šest osoba, a koji se dogodio 11.01 oko 5 sati ujutro i trostruko ubojstvo u Splitu, istog jučerašnjeg datuma, u popodnevnim satima. Strašno. url"
1,Kujundžić kod Europske komisije urgirao da se dobiveni projekt za Srebrnjak preusmjeri u nepostojeću bolnicu - 2 url
0,TrimeX je tekući koncentrat nove generacije s višestrukim djelovanjem: :backhand_index_pointing_right:smanjuje apetit :backhand_index_pointing_right:detoksicira jetru i probavni sustav :backhand_index_pointing_right:ubrzava metabolizam :backhand_index_pointing_right:pospješuje termogenezu (izgaranje masnoća). Više na linku:... url
2,Malo je reći da se moderna pita od jabuka pojela. #chefslife
1,"Živim u pamuku, obiteljska liječnica j laboratoriji su mi na 5 minuta hoda, bolnica sa specijalistima i hitna na 10 min autom, stoga ne mogu ni zamisliti kako je ljudima na otocima ili u dolini Neretve kojima treba... url"
2,"(2/3) Gradimo postaju granične policije - radi sigurnosti i zaštite od ilegalnih migracija. Otvorili smo dnevnu bolnicu u Zagvozdu: liječnici su došli k vama, ne morate više u Split. Ukinuli smo tunelarinu za „Sv. Iliju"", još moramo dovršiti braniteljske stanove. url"
0,Belzona 5871 termalna izolacija za zaštitu od opeklina i korozije pod izolacijom - url
1,"ovaj virus je toliko uporan, toliko brutalan, toliko dosadan i toliko ne možeš da ga se otarasiš, da ću ga od sad zvati aleksandar vučić"
1,user Sve to imam i ja i susid ispod tvrdi otkad sam renovirala stan i maknila nulu (estrih iz 75e) kako sam uništila zvučnu izolaciju :thinking_face: Pitanje: Susid frustriran jer mu fali sexa ili je stvarno old school građevina bila bolja?
1,"HSS nisu uspjeli uništiti više od stoljeća, neće ni sada. No pasaran! Ovi napadi ne mogu trajati više od tjedan dana samo zbog jednog neumjesnog tweeta. U isto vrijeme, o 6 IZGORJELIH OSOBA u improviziranom staračkom domu više NITKO NE PIŠE. #politikahr url"
1,"2 user Bit ćemo prvog veljače na Jelačić placu, na prosvjedu. I nastaviti dekonstrukciju ovog zla."
3,"user Ali mogao bi virus te ideje, da ""radnicima ne treba godišnji odmor"", zaraziti naše poslodavce."
1,"user Ne smunjan da meće sagradit, al će to bit zgrada di će ljudi doć umrit jer nemaju dovoljno doktora za borit se sa viruson. Informacije koje dolaze iz Kine drugin putovima javljaju da je situacija puno lošija od službenih informacija koje dobivamo."
1,"Kada vidite kako u Kini jedu mačke, pse, šišmiše, štakore i ŽIVE MIŠEVE, prestane vas čuditi to što je tamo i rasadnik najopasnijih virusa. #coronavirus url"
1,"Školstvo nam sasvim sigurno nikada nije niti valjalo, kada doktor medicine treba instrukcije za popunjavanje obrasca. Nešto tu jako ne valja"
1,"TRUMPOVI križari granatiraju Donbas sekularnog Slavskog carstva; potiču pobunu u Bagdadu; s HDZ / SDP koalicijom u Slunju i Udbini pripramaju atentate na sekularne; s Kineskim koronavirusom vode biološki rat protiv Istoka; ostaju u Libiji; ""razdružuju"" London od Slavskog carstva"
1,"user ajd što su putovali, ali da ih se po izlasku iz aviona ne strpa u karantenu, skup sa svima, e to mi nije jasno..."
